commune;code_insee;departement;geo_point_2d
L'ABERGEMENT-CLEMENCIAT;1001;AIN;46.1534255214,4.92611354223
L'ABERGEMENT-DE-VAREY;1002;AIN;46.0091878776,5.42801696363
AMBERIEU-EN-BUGEY;1004;AIN;45.9608475114,5.3729257777
AMBERIEUX-EN-DOMBES;1005;AIN;45.9961799872,4.91227250796
AMBLEON;1006;AIN;45.7494989044,5.59432017366
AMBRONAY;1007;AIN;46.0055913782,5.35760660735
AMBUTRIX;1008;AIN;45.9367134524,5.3328092349
ANDERT-ET-CONDON;1009;AIN;45.7873565333,5.65788307924
ANGLEFORT;1010;AIN;45.9093715116,5.79516005674
APREMONT;1011;AIN;46.2054981558,5.65781475272
ARANC;1012;AIN;46.0015344029,5.51130637511
ARANDAS;1013;AIN;45.8908155275,5.49870439091
ARBENT;1014;AIN;46.2834936005,5.69061651221
ARBIGNIEU;1015;AIN;45.7237621545,5.65263086429
ARBIGNY;1016;AIN;46.4776762988,4.9599416863
ARGIS;1017;AIN;45.9337182132,5.48251100314
ARMIX;1019;AIN;45.8541838459,5.58357838695
ARS-SUR-FORMANS;1021;AIN;45.9934611,4.82199649494
ARTEMARE;1022;AIN;45.8695891748,5.69065283943
ASNIERES-SUR-SAONE;1023;AIN;46.3857281418,4.88387478623
ATTIGNAT;1024;AIN;46.2861802203,5.1795233845
BAGE-LA-VILLE;1025;AIN;46.3233203302,4.9528678933
BAGE-LE-CHATEL;1026;AIN;46.3077069231,4.92862084189
BALAN;1027;AIN;45.8311226453,5.10780019249
BANEINS;1028;AIN;46.1141214445,4.90146475101
BEAUPONT;1029;AIN;46.4288360203,5.26003405676
BEAUREGARD;1030;AIN;46.0008580204,4.75600664694
BELLIGNAT;1031;AIN;46.2373497134,5.6360052884
BELIGNEUX;1032;AIN;45.8591464826,5.13989505865
BELLEGARDE-SUR-VALSERINE;1033;AIN;46.1067901755,5.83202736464
BELLEY;1034;AIN;45.7494697806,5.68412365526
BELLEYDOUX;1035;AIN;46.2530316409,5.78471723698
BELMONT-LUTHEZIEU;1036;AIN;45.8847475883,5.65115788055
BENONCES;1037;AIN;45.8374974718,5.48285330863
BENY;1038;AIN;46.3188629218,5.28253433405
BEON;1039;AIN;45.8568920052,5.75220315052
BEREZIAT;1040;AIN;46.3674371012,5.04021655965
BETTANT;1041;AIN;45.9368718303,5.36667617009
BEY;1042;AIN;46.2191748844,4.84642690241
BEYNOST;1043;AIN;45.8390325448,4.99738002182
BILLIAT;1044;AIN;46.0791346715,5.76591818163
BIRIEUX;1045;AIN;45.9533995502,5.03666479984
BIZIAT;1046;AIN;46.2266794269,4.94084673168
BLYES;1047;AIN;45.8469686113,5.25166055884
LA BOISSE;1049;AIN;45.8446213549,5.02783224111
BOISSEY;1050;AIN;46.3727973545,4.9989764059
BOLOZON;1051;AIN;46.1960338503,5.47095075411
BOULIGNEUX;1052;AIN;46.0232774841,4.99252709276
BOURG-EN-BRESSE;1053;AIN;46.2051520382,5.24602125501
BOURG-SAINT-CHRISTOPHE;1054;AIN;45.8861934456,5.14349196896
BOYEUX-SAINT-JEROME;1056;AIN;46.0363677631,5.46322744717
BOZ;1057;AIN;46.4051688134,4.9135797178
BREGNIER-CORDON;1058;AIN;45.6416854652,5.61653371
BRENAZ;1059;AIN;45.9500082947,5.7371892334
BRENOD;1060;AIN;46.0759940484,5.61418361314
BRENS;1061;AIN;45.7135069062,5.68998154517
BRESSOLLES;1062;AIN;45.869423064,5.1009428902
BRION;1063;AIN;46.1686327301,5.54656422194
BRIORD;1064;AIN;45.7708330939,5.48537461884
BUELLAS;1065;AIN;46.2104135162,5.14487465017
LA BURBANCHE;1066;AIN;45.8598709332,5.54609714598
CEIGNES;1067;AIN;46.1256533435,5.49457379202
CERDON;1068;AIN;46.0720202633,5.47577586118
CERTINES;1069;AIN;46.1337950959,5.26239539372
CESSY;1071;AIN;46.315689376,6.0779844362
CEYZERIAT;1072;AIN;46.1832170988,5.32007207542
CEYZERIEU;1073;AIN;45.8335530148,5.71933090966
CHALAMONT;1074;AIN;46.0076491739,5.16936568
CHALEINS;1075;AIN;46.0340545373,4.79853838574
CHALEY;1076;AIN;45.9533367734,5.53682505273
CHALLES-LA-MONTAGNE;1077;AIN;46.1221539654,5.45755377201
CHALLEX;1078;AIN;46.1768358327,5.97115092939
CHAMPAGNE-EN-VALROMEY;1079;AIN;45.9316447397,5.69321890072
CHAMPDOR;1080;AIN;46.0198844188,5.60008759722
CHAMPFROMIER;1081;AIN;46.220365768,5.82233573131
CHANAY;1082;AIN;46.005695299,5.76893393185
CHANEINS;1083;AIN;46.0934984191,4.85473364691
CHANOZ-CHATENAY;1084;AIN;46.1861812234,5.02807719246
LA CHAPELLE-DU-CHATELARD;1085;AIN;46.0744536905,5.02162055898
CHARIX;1087;AIN;46.1856344066,5.6811896084
CHARNOZ-SUR-AIN;1088;AIN;45.8736786869,5.2211032563
CHATEAU-GAILLARD;1089;AIN;45.9730390239,5.30754273532
CHATENAY;1090;AIN;46.0259402155,5.2048590395
CHATILLON-EN-MICHAILLE;1091;AIN;46.1293337743,5.770176021
CHATILLON-LA-PALUD;1092;AIN;45.9748017433,5.2416027725
CHATILLON-SUR-CHALARONNE;1093;AIN;46.1232390685,4.95810003714
CHAVANNES-SUR-REYSSOUZE;1094;AIN;46.4379785193,5.00693749662
CHAVANNES-SUR-SURAN;1095;AIN;46.2750157946,5.41649423093
CHAVEYRIAT;1096;AIN;46.1991513767,5.0564069258
CHAVORNAY;1097;AIN;45.8824049535,5.72499814516
CHAZEY-BONS;1098;AIN;45.7925770617,5.68477063188
CHAZEY-SUR-AIN;1099;AIN;45.8929448968,5.25528498524
CHEIGNIEU-LA-BALME;1100;AIN;45.8227204334,5.6050023969
CHEVILLARD;1101;AIN;46.1103512578,5.58116056005
CHEVROUX;1102;AIN;46.38249255,4.96288275972
CHEVRY;1103;AIN;46.283152935,6.04707941462
CHEZERY-FORENS;1104;AIN;46.222573373,5.87248105275
CIVRIEUX;1105;AIN;45.922467454,4.88633786877
CIZE;1106;AIN;46.2003848172,5.45082526739
CLEYZIEU;1107;AIN;45.902146623,5.43272695486
COLIGNY;1108;AIN;46.3866637865,5.3308227014
COLLONGES;1109;AIN;46.1419227898,5.90040256654
COLOMIEU;1110;AIN;45.7361469025,5.62670101041
CONAND;1111;AIN;45.8834810846,5.47541328981
CONDAMINE;1112;AIN;46.105831161,5.55568206762
CONDEISSIAT;1113;AIN;46.1538469834,5.08437171701
CONFORT;1114;AIN;46.1543700156,5.83319395258
CONFRANCON;1115;AIN;46.270304175,5.05775217893
CONTREVOZ;1116;AIN;45.8009403071,5.62087768159
CONZIEU;1117;AIN;45.7253102173,5.60442351043
CORBONOD;1118;AIN;45.9659473187,5.78961970355
CORCELLES;1119;AIN;46.0399740208,5.5733764339
CORLIER;1121;AIN;46.0336885573,5.49635755029
CORMARANCHE-EN-BUGEY;1122;AIN;45.9442772826,5.60860828487
CORMORANCHE-SUR-SAONE;1123;AIN;46.2403530179,4.8276569593
CORMOZ;1124;AIN;46.4336632942,5.22181275755
CORVEISSIAT;1125;AIN;46.2505107235,5.47152467919
COURMANGOUX;1127;AIN;46.3267864521,5.35558241812
COURTES;1128;AIN;46.4570082032,5.11128546723
CRANS;1129;AIN;45.9663793103,5.19490390871
CRAS-SUR-REYSSOUZE;1130;AIN;46.3130831891,5.17796707174
CRESSIN-ROCHEFORT;1133;AIN;45.7826434885,5.76546256637
CROTTET;1134;AIN;46.283072336,4.87747971182
CROZET;1135;AIN;46.2915659686,5.99510417092
CRUZILLES-LES-MEPILLAT;1136;AIN;46.2220588715,4.8752193513
CULOZ;1138;AIN;45.8559966843,5.78398308932
CURCIAT-DONGALON;1139;AIN;46.4885456881,5.16344336837
CURTAFOND;1140;AIN;46.273150382,5.1020896267
CUZIEU;1141;AIN;45.8200002803,5.6765554896
DAGNEUX;1142;AIN;45.8531616918,5.07289166803
DIVONNE-LES-BAINS;1143;AIN;46.3756333495,6.1158647611
DOMMARTIN;1144;AIN;46.33627762,4.99863894
DOMPIERRE-SUR-VEYLE;1145;AIN;46.0667883703,5.21665199666
DOMPIERRE-SUR-CHALARONNE;1146;AIN;46.1415406621,4.90141714714
DOMSURE;1147;AIN;46.4244066427,5.29313479651
DORTAN;1148;AIN;46.3133221173,5.64146584117
DOUVRES;1149;AIN;45.984297392,5.37106901673
DROM;1150;AIN;46.2196603059,5.36799994918
DRUILLAT;1151;AIN;46.067579544,5.29361666429
ECHALLON;1152;AIN;46.2271364137,5.73330448395
ECHENEVEX;1153;AIN;46.3160845207,6.01926187996
ETREZ;1154;AIN;46.3380891758,5.19286414645
EVOSGES;1155;AIN;45.965147537,5.50283599885
FARAMANS;1156;AIN;45.9104942091,5.1249258559
FAREINS;1157;AIN;46.020997974,4.7620080898
FARGES;1158;AIN;46.166230455,5.90019477201
FEILLENS;1159;AIN;46.3365833672,4.88507050971
FERNEY-VOLTAIRE;1160;AIN;46.2519789243,6.10826403805
FLAXIEU;1162;AIN;45.8113298005,5.74459048839
FOISSIAT;1163;AIN;46.3784759782,5.18483641417
FRANCHELEINS;1165;AIN;46.0735946256,4.81293575559
FRANS;1166;AIN;45.9939065077,4.78033196905
GARNERANS;1167;AIN;46.2136224825,4.82843188743
GENOUILLEUX;1169;AIN;46.1201611728,4.79288195016
BEARD-GEOVREISSIAT;1170;AIN;46.1896733539,5.55139781353
GEOVREISSET;1171;AIN;46.2508621615,5.61271973915
GERMAGNAT;1172;AIN;46.3054983344,5.45012798616
GEX;1173;AIN;46.3471891747,6.04650555568
GIRON;1174;AIN;46.2227121191,5.78049809256
GORREVOD;1175;AIN;46.414943437,4.95120595427
LE GRAND-ABERGEMENT;1176;AIN;46.0863597408,5.68624246364
GRAND-CORENT;1177;AIN;46.207387937,5.43318666027
GRIEGES;1179;AIN;46.2633634407,4.84621318847
GRILLY;1180;AIN;46.3318810665,6.11366767978
GROISSIAT;1181;AIN;46.2260039429,5.61095413441
GROSLEE;1182;AIN;45.7216666431,5.57285524796
GUEREINS;1183;AIN;46.106624674,4.78159420118
HAUTECOURT-ROMANECHE;1184;AIN;46.1611241927,5.42944457639
HAUTEVILLE-LOMPNES;1185;AIN;45.9696520061,5.57627261783
HOSTIAZ;1186;AIN;45.9061631889,5.54077986031
HOTONNES;1187;AIN;46.0317412192,5.70267027388
ILLIAT;1188;AIN;46.1866986838,4.88840344003
INJOUX-GENISSIAT;1189;AIN;46.0497734524,5.75991363273
INNIMOND;1190;AIN;45.7919647191,5.57389398559
IZENAVE;1191;AIN;46.0381623415,5.52447901164
IZERNORE;1192;AIN;46.2179780137,5.56258251719
IZIEU;1193;AIN;45.6557496407,5.63909140794
JASSANS-RIOTTIER;1194;AIN;45.9777239103,4.75984637871
JASSERON;1195;AIN;46.2150037064,5.31215372338
JAYAT;1196;AIN;46.3660828991,5.11429701617
JOURNANS;1197;AIN;46.1464982407,5.33452833151
JOYEUX;1198;AIN;45.9499899849,5.10261326872
JUJURIEUX;1199;AIN;46.0497041467,5.41094771899
LABALME;1200;AIN;46.0932491295,5.49438685213
LAGNIEU;1202;AIN;45.8917015798,5.32917518895
LAIZ;1203;AIN;46.2469919709,4.89933490972
LALLEYRIAT;1204;AIN;46.1479592076,5.71829194244
LANCRANS;1205;AIN;46.1323202721,5.84050985141
LANTENAY;1206;AIN;46.0544405897,5.54127421165
LAPEYROUSE;1207;AIN;45.9859131165,4.98196682865
LAVOURS;1208;AIN;45.8108837933,5.77267317838
LEAZ;1209;AIN;46.1086518044,5.87649017888
LELEX;1210;AIN;46.2855010936,5.92927713771
LENT;1211;AIN;46.1160216305,5.20200684747
LESCHEROUX;1212;AIN;46.4114892731,5.15107164478
LEYMENT;1213;AIN;45.9269989549,5.2947657235
LEYSSARD;1214;AIN;46.1624187428,5.47633297491
LHOPITAL;1215;AIN;46.0238143134,5.76236736492
LHUIS;1216;AIN;45.7444141403,5.53602066955
LOCHIEU;1218;AIN;45.9302479879,5.7413126836
LOMPNAS;1219;AIN;45.8105943351,5.52320457866
LOMPNIEU;1221;AIN;45.9690865613,5.65968816497
LOYETTES;1224;AIN;45.7921564114,5.21770971647
LURCY;1225;AIN;46.061730034,4.78075207026
MAGNIEU;1227;AIN;45.7754050255,5.71540945601
MAILLAT;1228;AIN;46.1201642836,5.52854394238
MALAFRETAZ;1229;AIN;46.3295545661,5.14386299599
MANTENAY-MONTLIN;1230;AIN;46.4302754511,5.10675899732
MANZIAT;1231;AIN;46.3643830585,4.90242777155
MARBOZ;1232;AIN;46.3434312497,5.24374534963
MARCHAMP;1233;AIN;45.7738495266,5.54985181107
MARIGNIEU;1234;AIN;45.8010384947,5.71570352924
MARLIEUX;1235;AIN;46.0549073186,5.0741150816
MARSONNAS;1236;AIN;46.3409117711,5.06434294764
MARTIGNAT;1237;AIN;46.2030768095,5.61384033805
MASSIEUX;1238;AIN;45.9094016817,4.82779660051
MASSIGNIEU-DE-RIVES;1239;AIN;45.7571503942,5.7620535823
MATAFELON-GRANGES;1240;AIN;46.2565319445,5.53958933702
MEILLONNAS;1241;AIN;46.244997627,5.33594738489
MERIGNAT;1242;AIN;46.0648564341,5.44210660051
MESSIMY-SUR-SAONE;1243;AIN;46.0472670758,4.75935643933
MEXIMIEUX;1244;AIN;45.9060530318,5.20404833653
BOHAS-MEYRIAT-RIGNAT;1245;AIN;46.1427060662,5.3780109646
MEZERIAT;1246;AIN;46.2423102101,5.04725416984
MIJOUX;1247;AIN;46.3622451724,6.00902631941
MIONNAY;1248;AIN;45.8955939299,4.92416967439
MIRIBEL;1249;AIN;45.8442099203,4.94106746787
MISERIEUX;1250;AIN;45.9762325343,4.81028471711
MOGNENEINS;1252;AIN;46.1446696076,4.820110702
MONTAGNAT;1254;AIN;46.1686969123,5.27962107938
MONTAGNIEU;1255;AIN;45.799449019,5.46428608859
MONTANGES;1257;AIN;46.17325293,5.79006091307
MONTCEAUX;1258;AIN;46.0962893261,4.80453564172
MONTCET;1259;AIN;46.219333227,5.11149132074
LE MONTELLIER;1260;AIN;45.9287482486,5.07092815964
MONTHIEUX;1261;AIN;45.9622791838,4.94555984534
MONTLUEL;1262;AIN;45.8909006209,5.01987566185
MONTMERLE-SUR-SAONE;1263;AIN;46.0849573236,4.7608579486
MONTRACOL;1264;AIN;46.1867200301,5.11706011755
MONTREAL-LA-CLUSE;1265;AIN;46.1795688194,5.59510550127
MONTREVEL-EN-BRESSE;1266;AIN;46.3252811442,5.11295966315
NURIEUX-VOLOGNAT;1267;AIN;46.1830720992,5.51435812316
MURS-ET-GELIGNIEUX;1268;AIN;45.6420014274,5.66039684889
"NANTUA";1269;AIN;46.1537845403,5.61352793799
"NATTAGES";1271;AIN;45.723773707,5.74947693301
NEUVILLE-LES-DAMES;1272;AIN;46.1567753049,5.00942432434
NEUVILLE-SUR-AIN;1273;AIN;46.0909654813,5.37349784691
LES NEYROLLES;1274;AIN;46.1342937114,5.63714517869
NEYRON;1275;AIN;45.8184192468,4.9309045685
NIEVROZ;1276;AIN;45.8222941077,5.05949629195
NIVOLLET-MONTGRIFFON;1277;AIN;45.9999448244,5.45847815374
ONCIEU;1279;AIN;45.9651165469,5.47146617499
ORDONNAZ;1280;AIN;45.8339690378,5.5395794296
ORNEX;1281;AIN;46.2774557513,6.09454723599
OUTRIAZ;1282;AIN;46.067796636,5.55697547429
OYONNAX;1283;AIN;46.2605435859,5.65344320923
OZAN;1284;AIN;46.3867168877,4.91805840196
PARCIEUX;1285;AIN;45.9184267932,4.82747423402
PARVES;1286;AIN;45.7437340183,5.73800737134
PERON;1288;AIN;46.1913554154,5.91968751164
PERONNAS;1289;AIN;46.1711903413,5.21802169564
PEROUGES;1290;AIN;45.8803945768,5.17955874977
PERREX;1291;AIN;46.2465065604,4.97464940331
LE PETIT-ABERGEMENT;1292;AIN;46.0669978649,5.6512031597
PEYRIAT;1293;AIN;46.1498184067,5.50572312284
PEYRIEU;1294;AIN;45.6762428663,5.67912809192
PEYZIEUX-SUR-SAONE;1295;AIN;46.1226331853,4.82243226719
PIRAJOUX;1296;AIN;46.385801285,5.27417594024
PIZAY;1297;AIN;45.8928509581,5.08915465965
PLAGNE;1298;AIN;46.1883038423,5.71763811249
LE PLANTAY;1299;AIN;46.0230264227,5.08912046926
LE POIZAT;1300;AIN;46.1432950473,5.67440958637
POLLIAT;1301;AIN;46.2463108642,5.13794412439
POLLIEU;1302;AIN;45.7965373468,5.74794515549
PONCIN;1303;AIN;46.089530586,5.41681266947
PONT-D'AIN;1304;AIN;46.0542077091,5.34703652618
PONT-DE-VAUX;1305;AIN;46.4422864477,4.92862459427
PONT-DE-VEYLE;1306;AIN;46.2637215091,4.88186068102
PORT;1307;AIN;46.155963139,5.57615832883
POUGNY;1308;AIN;46.1450914685,5.95100479291
POUILLAT;1309;AIN;46.3219301481,5.42318000482
PREMEYZEL;1310;AIN;45.6806263123,5.64396081449
PREMILLIEU;1311;AIN;45.876457149,5.56475010385
PRESSIAT;1312;AIN;46.319006013,5.38083678419
PREVESSIN-MOENS;1313;AIN;46.25827228,6.07223251859
PRIAY;1314;AIN;46.0197521486,5.28523353803
PUGIEU;1316;AIN;45.8176794806,5.64970405499
RAMASSE;1317;AIN;46.1905550894,5.35572056985
RANCE;1318;AIN;45.9673905154,4.86343025951
RELEVANT;1319;AIN;46.0843657897,4.94176845356
REPLONGES;1320;AIN;46.3077356023,4.8746938271
REVONNAS;1321;AIN;46.1615355815,5.33543916388
REYRIEUX;1322;AIN;45.9367652442,4.82840395968
REYSSOUZE;1323;AIN;46.4285569061,4.91285056272
RIGNIEUX-LE-FRANC;1325;AIN;45.9518762734,5.16936671105
ROMANS;1328;AIN;46.1237520756,5.0217131176
ROSSILLON;1329;AIN;45.8363854589,5.59926863007
RUFFIEU;1330;AIN;46.0037108867,5.65322391497
SAINT-ALBAN;1331;AIN;46.0983335519,5.45573839846
SAINT-ANDRE-DE-BAGE;1332;AIN;46.298541568,4.91411565769
SAINT-ANDRE-DE-CORCY;1333;AIN;45.927001954,4.95373324492
SAINT-ANDRE-D'HUIRIAT;1334;AIN;46.2140960915,4.91291358797
SAINT-ANDRE-LE-BOUCHOUX;1335;AIN;46.1131399612,5.0802376895
SAINT-ANDRE-SUR-VIEUX-JONC;1336;AIN;46.1492410532,5.14175200148
SAINT-BENIGNE;1337;AIN;46.4519173207,4.95309825903
SAINT-BENOIT;1338;AIN;45.6891842277,5.5843972561
SAINT-BERNARD;1339;AIN;45.9493830581,4.74276628471
SAINT-BOIS;1340;AIN;45.6974755166,5.62709830112
SAINT-CHAMP;1341;AIN;45.7825741014,5.7326531461
SAINTE-CROIX;1342;AIN;45.895522477,5.04935536228
SAINT-CYR-SUR-MENTHON;1343;AIN;46.2754005606,4.96757105158
SAINT-DENIS-LES-BOURG;1344;AIN;46.2111998453,5.18462806771
SAINT-DENIS-EN-BUGEY;1345;AIN;45.9488551151,5.32367701698
SAINT-DIDIER-D'AUSSIAT;1346;AIN;46.3069992095,5.05820697692
SAINT-DIDIER-DE-FORMANS;1347;AIN;45.9564926067,4.77766764875
SAINT-DIDIER-SUR-CHALARONNE;1348;AIN;46.1840408682,4.81645666173
SAINT-ELOI;1349;AIN;45.9322494861,5.15187041178
SAINT-ETIENNE-DU-BOIS;1350;AIN;46.2749447261,5.28428557632
SAINT-ETIENNE-SUR-CHALARONNE;1351;AIN;46.1468059584,4.86696454244
SAINT-ETIENNE-SUR-REYSSOUZE;1352;AIN;46.4030398952,5.00605581573
SAINTE-EUPHEMIE;1353;AIN;45.9669798317,4.79478189169
SAINT-GENIS-POUILLY;1354;AIN;46.254539333,6.0362907345
SAINT-GENIS-SUR-MENTHON;1355;AIN;46.2815955593,5.01311826405
SAINT-GEORGES-SUR-RENON;1356;AIN;46.1037951263,5.03001967494
SAINT-GERMAIN-DE-JOUX;1357;AIN;46.1821955394,5.74672259773
SAINT-GERMAIN-LES-PAROISSES;1358;AIN;45.7709749249,5.61753440834
SAINT-GERMAIN-SUR-RENON;1359;AIN;46.0797285417,5.06090903982
SAINT-JEAN-DE-GONVILLE;1360;AIN;46.2178585727,5.94203093769
SAINT-JEAN-DE-NIOST;1361;AIN;45.8405002569,5.21167430462
SAINT-JEAN-DE-THURIGNEUX;1362;AIN;45.9598424323,4.89936410681
SAINT-JEAN-LE-VIEUX;1363;AIN;46.0291437714,5.38252835538
SAINT-JEAN-SUR-REYSSOUZE;1364;AIN;46.3972479854,5.06297763777
SAINT-JEAN-SUR-VEYLE;1365;AIN;46.2683632132,4.92198366998
SAINTE-JULIE;1366;AIN;45.8819723176,5.28452304614
SAINT-JULIEN-SUR-REYSSOUZE;1367;AIN;46.3997655501,5.10354296019
SAINT-JULIEN-SUR-VEYLE;1368;AIN;46.2014862081,4.959356342
SAINT-JUST;1369;AIN;46.1929758576,5.28494181398
SAINT-LAURENT-SUR-SAONE;1370;AIN;46.3051486294,4.83949202669
SAINT-MARCEL;1371;AIN;45.9485803654,4.9896671017
SAINT-MARTIN-DE-BAVEL;1372;AIN;45.848212674,5.67889099153
SAINT-MARTIN-DU-FRENE;1373;AIN;46.135983782,5.57106016428
SAINT-MARTIN-DU-MONT;1374;AIN;46.1061500835,5.32551470817
SAINT-MARTIN-LE-CHATEL;1375;AIN;46.291445874,5.12291715091
SAINT-MAURICE-DE-BEYNOST;1376;AIN;45.8343709108,4.97726215174
SAINT-MAURICE-DE-GOURDANS;1378;AIN;45.8200191939,5.16980415584
SAINT-MAURICE-DE-REMENS;1379;AIN;45.9527471237,5.2708276475
SAINT-NIZIER-LE-BOUCHOUX;1380;AIN;46.4528537121,5.1759906585
SAINT-NIZIER-LE-DESERT;1381;AIN;46.052861561,5.14246131764
SAINTE-OLIVE;1382;AIN;46.0142006121,4.93624894982
SAINT-PAUL-DE-VARAX;1383;AIN;46.0956691617,5.12762470203
SAINT-RAMBERT-EN-BUGEY;1384;AIN;45.9504631708,5.44017084612
SAINT-REMY;1385;AIN;46.1846642149,5.16771354778
SAINT-SORLIN-EN-BUGEY;1386;AIN;45.886308438,5.37608915006
SAINT-SULPICE;1387;AIN;46.3209806116,5.04148389346
SAINT-TRIVIER-DE-COURTES;1388;AIN;46.4612969335,5.06679195727
SAINT-TRIVIER-SUR-MOIGNANS;1389;AIN;46.0618477991,4.90158948884
SAINT-VULBAS;1390;AIN;45.8222315102,5.27019602929
SALAVRE;1391;AIN;46.3635396668,5.34742387197
SAMOGNAT;1392;AIN;46.2648715781,5.58607689306
SANDRANS;1393;AIN;46.0656961548,4.98282673172
SAULT-BRENAZ;1396;AIN;45.8654038798,5.40416104083
SAUVERNY;1397;AIN;46.3126908233,6.11043836433
SAVIGNEUX;1398;AIN;45.997346828,4.8576200906
SEGNY;1399;AIN;46.2935928404,6.07287743792
SEILLONNAZ;1400;AIN;45.7976976614,5.49810658524
SERGY;1401;AIN;46.2626243003,5.98914553194
SERMOYER;1402;AIN;46.4981991944,4.97856020441
SERRIERES-DE-BRIORD;1403;AIN;45.8133219416,5.44125880379
SERRIERES-SUR-AIN;1404;AIN;46.1466977757,5.45023362942
SERVAS;1405;AIN;46.1385540577,5.17887070992
SERVIGNAT;1406;AIN;46.4346497878,5.05559973107
SEYSSEL;1407;AIN;45.9484118176,5.82616979887
SIMANDRE-SUR-SURAN;1408;AIN;46.2340471594,5.42240815305
SONGIEU;1409;AIN;45.9816997302,5.71616247759
SONTHONNAX-LA-MONTAGNE;1410;AIN;46.2229768712,5.50566888767
SOUCLIN;1411;AIN;45.8781798572,5.43058627512
SULIGNAT;1412;AIN;46.1735383313,4.95772382526
SURJOUX;1413;AIN;46.030402108,5.79957920623
SUTRIEU;1414;AIN;45.9311367808,5.64988248129
TALISSIEU;1415;AIN;45.8637167128,5.72090411074
TENAY;1416;AIN;45.922698278,5.51453923595
THEZILLIEU;1417;AIN;45.8931883593,5.59700638944
THIL;1418;AIN;45.8169214201,5.0184098869
THOIRY;1419;AIN;46.2435475879,5.96506297987
THOISSEY;1420;AIN;46.1700943481,4.79387095814
TORCIEU;1421;AIN;45.92125055,5.40400282244
TOSSIAT;1422;AIN;46.1384790158,5.30400055922
TOUSSIEUX;1423;AIN;45.959898291,4.82898610612
TRAMOYES;1424;AIN;45.8745670311,4.9639268325
LA TRANCLIERE;1425;AIN;46.0970027075,5.26099875456
TREFFORT-CUISIAT;1426;AIN;46.2803281838,5.36083165162
TREVOUX;1427;AIN;45.940671655,4.7714415007
VALEINS;1428;AIN;46.1146467438,4.86551696868
VANDEINS;1429;AIN;46.217806795,5.08189056957
VARAMBON;1430;AIN;46.0433928197,5.2947944594
VAUX-EN-BUGEY;1431;AIN;45.9201205456,5.36353184193
VERJON;1432;AIN;46.3459093717,5.34853019646
VERNOUX;1433;AIN;46.4848229774,5.10590413121
VERSAILLEUX;1434;AIN;45.9854373478,5.11204819151
VERSONNEX;1435;AIN;46.2997631425,6.10057952207
VESANCY;1436;AIN;46.3610768127,6.08470665475
VESCOURS;1437;AIN;46.4743960759,5.02617426573
VESINES;1439;AIN;46.3593397751,4.86265852202
VIEU-D'IZENAVE;1441;AIN;46.0853386653,5.54922100161
VIEU;1442;AIN;45.8898392612,5.68999399947
VILLARS-LES-DOMBES;1443;AIN;45.9927150222,5.04507856642
VILLEBOIS;1444;AIN;45.8485624628,5.44711117486
VILLEMOTIER;1445;AIN;46.3458538978,5.31036160991
VILLENEUVE;1446;AIN;46.0319048788,4.85182526102
VILLEREVERSURE;1447;AIN;46.1926750369,5.3947679407
VILLES;1448;AIN;46.0954293058,5.7569250415
VILLETTE-SUR-AIN;1449;AIN;46.0099989032,5.25214547187
VILLIEU-LOYES-MOLLON;1450;AIN;45.932014998,5.22953071636
VIRIAT;1451;AIN;46.2508985632,5.22302249216
VIRIEU-LE-GRAND;1452;AIN;45.8464417872,5.63971940347
VIRIEU-LE-PETIT;1453;AIN;45.9063608209,5.73707051523
VIRIGNIN;1454;AIN;45.7267387762,5.71282330936
VONGNES;1456;AIN;45.8129059524,5.72536666767
VONNAS;1457;AIN;46.2168871367,4.99744373712
ABBECOURT;2001;AISNE;49.5991518653,3.17708232927
ACHERY;2002;AISNE;49.6936187791,3.39735632148
ACY;2003;AISNE;49.3471963534,3.41817609834
AGNICOURT-ET-SECHELLES;2004;AISNE;49.7166573626,3.96043211816
AGUILCOURT;2005;AISNE;49.393650796,3.96803679426
AISONVILLE-ET-BERNOVILLE;2006;AISNE;49.930148162,3.51120205593
AIZELLES;2007;AISNE;49.4848002918,3.81870255331
AIZY-JOUY;2008;AISNE;49.4384256824,3.51149185429
ALAINCOURT;2009;AISNE;49.7667120841,3.36639043616
ALLEMANT;2010;AISNE;49.4624440593,3.45394275872
AMBLENY;2011;AISNE;49.3762672939,3.18334679178
AMBRIEF;2012;AISNE;49.3215250088,3.40362196255
AMIFONTAINE;2013;AISNE;49.498787026,3.92278993322
AMIGNY-ROUY;2014;AISNE;49.6108275885,3.30289341579
ANCIENVILLE;2015;AISNE;49.2186389559,3.20808809779
ANDELAIN;2016;AISNE;49.6411808161,3.3695440898
ANGUILCOURT-LE-SART;2017;AISNE;49.6940879195,3.42823182437
ANIZY-LE-CHATEAU;2018;AISNE;49.5045058305,3.43129584952
ANNOIS;2019;AISNE;49.7210674108,3.17611501401
ANY-MARTIN-RIEUX;2020;AISNE;49.8823706752,4.22351346907
ARCHON;2021;AISNE;49.744126618,4.11908765808
ARCY-SAINTE-RESTITUE;2022;AISNE;49.2548799371,3.47829076337
ARMENTIERES-SUR-OURCQ;2023;AISNE;49.1734232511,3.38789647903
ARRANCY;2024;AISNE;49.4989016398,3.7647230005
ARTEMPS;2025;AISNE;49.7617999337,3.19725095546
ARTONGES;2026;AISNE;48.9283616459,3.54470132378
