groups;type_vegetation;n;;
agri_fire;culture_chaume_bois;1;TBR;
agri_fire;culture_haie;1;TBR;
agri_fire;culture_paille;1;paille;
agri_fire;culture_sous_bois;2;TBR;
agri_fire;dechet_vert;1;TBR;
agri_fire;ecobuage;1;TBR;
agri_fire;escourgeon;10;orge;
agri_fire;escourgeon_paille;2;orge;
agri_fire;eteule;2;chaume;
agri_fire;feuillus;1;TBR;
agri_fire;foin;56;autre fourage;
agri_fire;foin_broussaille;1;autre fourage;
agri_fire;foin_champ;1;autre fourage;
agri_fire;foin_chaume_broussaille;1;autre fourage;
agri_fire;foin_orge;1;autre fourage;
agri_fire;foin_paille;1;autre fourage;
agri_fire;foin_vegetation;1;autre fourage;
agri_fire;foret;3;TBR;
agri_fire;foret_broussaille;1;TBR;
agri_fire;foret_champ;1;TBR;
agri_fire;foret_chaume;1;TBR;
agri_fire;foret_taillis_champ;1;TBR;
agri_fire;fougere;1;TBR;
agri_fire;fourrage;7;autre fourage;
agri_fire;friche;13;STH;
agri_fire;friche_chaume;3;STH;
agri_fire;friche_herbe;1;STH;
agri_fire;garrigue;2;TBR;
agri_fire;garrigue_ble;1;TBR;
agri_fire;garrigue_broussaille;1;TBR;
agri_fire;garrigue_chaume;2;TBR;
agri_fire;garrigue_herbe;1;TBR;
agri_fire;haie;3;TBR;
agri_fire;haie_herbe_seche;1;TBR;
agri_fire;herbage;3;STH;
agri_fire;herbe;90;STH;
agri_fire;herbe_ble;4;ble;
agri_fire;herbe_ble_champ;1;ble;
agri_fire;herbe_broussaille;10;STH;
agri_fire;herbe_broussaille_chaume;1;STH;
agri_fire;herbe_champ;1;STH;
agri_fire;herbe_chaume;1;STH;
agri_fire;herbe_conifere;1;TBR;
agri_fire;herbe_coupee;1;autre fourage;
agri_fire;herbe_paille;2;STH;
agri_fire;herbe_seche;84;STH;
agri_fire;herbe_seche_broussaille;2;STH;
agri_fire;herbe_seche_champ;4;STH;
agri_fire;herbe_seche_chaume;1;STH;
agri_fire;herbe_seche_feuillus;1;TBR;
